pre_dir,st_name,st_type,suf_dir,l_f_add,l_t_add,r_f_add,r_t_add,st_code,seg_id,responsibl,cl_pre_dir,cl_st_name,cl_st_type,cl_suf_dir,cl_street_full
N,5TH,ST,,0,0,181,199,44825,441718,STATE,N,INDEPENDENCE,MALL,E,N INDEPENDENCE MALL E
N,5TH,ST,,2,148,1,149,44825,441404,STATE,N,INDEPENDENCE,MALL,E,N INDEPENDENCE MALL E
N,5TH,ST,,150,178,151,179,44825,441717,STATE,N,INDEPENDENCE,MALL,E,N INDEPENDENCE MALL E
N,5TH,ST,,180,198,0,0,44825,441719,STATE,N,INDEPENDENCE,MALL,E,N INDEPENDENCE MALL E
S,5TH,ST,,1,109,2,108,44829,441173,STATE,S,INDEPENDENCE,MALL,E,S INDEPENDENCE MALL E
S,5TH,ST,,111,117,110,116,44829,441174,STATE,S,INDEPENDENCE,MALL,E,S INDEPENDENCE MALL E
S,5TH,ST,,119,123,118,122,44829,441175,STATE,S,INDEPENDENCE,MALL,E,S INDEPENDENCE MALL E
S,5TH,ST,,125,199,124,198,44829,441176,STATE,S,INDEPENDENCE,MALL,E,S INDEPENDENCE MALL E
N,6TH,ST,,2,188,1,189,44833,441168,STATE,N,INDEPENDENCE,MALL,W,N INDEPENDENCE MALL W
N,6TH,ST,,190,198,191,199,44833,441167,STATE,N,INDEPENDENCE,MALL,W,N INDEPENDENCE MALL W
S,6TH,ST,,1,129,2,128,44836,441169,STATE,S,INDEPENDENCE,MALL,W,S INDEPENDENCE MALL W
S,6TH,ST,,131,149,130,148,44836,441170,STATE,S,INDEPENDENCE,MALL,W,S INDEPENDENCE MALL W
S,6TH,ST,,151,169,150,168,44836,441171,STATE,S,INDEPENDENCE,MALL,W,S INDEPENDENCE MALL W
S,6TH,ST,,171,199,170,198,44836,441172,STATE,S,INDEPENDENCE,MALL,W,S INDEPENDENCE MALL W
,291,HWY,,0,0,0,0,16120,100004,STATE,,BARTRAM,AVE,,BARTRAM AVE
,291,HWY,,0,0,0,0,16120,100044,STATE,,BARTRAM,AVE,,BARTRAM AVE
,291,HWY,,0,0,7401,7499,16120,120068,FAM,,BARTRAM,AVE,,BARTRAM AVE
,291,HWY,,0,0,7501,7599,16120,120070,FAM,,BARTRAM,AVE,,BARTRAM AVE
,291,HWY,,1,99,0,98,16120,100239,TOWNSHIP,,BARTRAM,AVE,,BARTRAM AVE
,291,HWY,,3401,3499,3400,3498,16120,120071,STATE,,BARTRAM,AVE,,BARTRAM AVE
,291,HWY,,7400,7498,0,0,16120,120049,FAM,,BARTRAM,AVE,,BARTRAM AVE
,291,HWY,,7500,7598,0,0,16120,120069,FAM,,BARTRAM,AVE,,BARTRAM AVE
,291,HWY,,7801,7989,7800,7988,16120,120010,STATE,,BARTRAM,AVE,,BARTRAM AVE
,291,HWY,,8010,8398,8011,8399,16120,120118,STATE,,BARTRAM,AVE,,BARTRAM AVE
,291,HWY,,8400,8528,8401,8529,16120,100045,STATE,,BARTRAM,AVE,,BARTRAM AVE
,291,HWY,,8530,8798,8531,8799,16120,100214,STATE,,BARTRAM,AVE,,BARTRAM AVE
,291,HWY,,8800,8898,8801,8899,16120,100192,STATE,,BARTRAM,AVE,,BARTRAM AVE
,291,HWY,,8900,8998,8901,8999,16120,100193,STATE,,BARTRAM,AVE,,BARTRAM AVE
,291,HWY,,9000,9098,9001,9099,16120,100070,STATE,,BARTRAM,AVE,,BARTRAM AVE
,291,HWY,,9100,9198,9101,9199,16120,100003,STATE,,BARTRAM,AVE,,BARTRAM AVE
,291,HWY,,9200,9298,9201,9299,16120,100002,STATE,,BARTRAM,AVE,,BARTRAM AVE
,291,,,0,0,0,0,64080,220281,CITY,,PENROSE,AVE,,PENROSE AVE
,291,,,0,0,0,0,64080,220282,CITY,,PENROSE,AVE,,PENROSE AVE
,291,,,0,0,0,0,64080,220331,CITY,,PENROSE,AVE,,PENROSE AVE
,291,,,0,0,0,0,64080,220464,CITY,,PENROSE,AVE,,PENROSE AVE
,291,,,0,0,0,0,64080,822102,TOWNSHIP,,PENROSE,AVE,,PENROSE AVE
,291,,,0,0,7401,7799,64080,120013,STATE,,PENROSE,AVE,,PENROSE AVE
,291,,,0,0,7801,8199,64080,120105,STATE,,PENROSE,AVE,,PENROSE AVE
,291,,,2000,2134,2001,2133,64080,220251,STATE,,PENROSE,AVE,,PENROSE AVE
,291,,,2136,2190,2135,2189,64080,220047,STATE,,PENROSE,AVE,,PENROSE AVE
,291,,,2192,2198,2191,2199,64080,220049,STATE,,PENROSE,AVE,,PENROSE AVE
,291,,,2200,2398,2201,2399,64080,221161,STATE,,PENROSE,AVE,,PENROSE AVE
,291,,,2400,2498,2401,2499,64080,220284,STATE,,PENROSE,AVE,,PENROSE AVE
,291,,,2500,2598,2501,2599,64080,220285,STATE,,PENROSE,AVE,,PENROSE AVE
,291,,,2600,2612,2601,2613,64080,220044,STATE,,PENROSE,AVE,,PENROSE AVE
,291,,,2614,2798,2615,2799,64080,221155,STATE,,PENROSE,AVE,,PENROSE AVE
,291,,,2800,5450,2801,5451,64080,221257,STATE,,PENROSE,AVE,,PENROSE AVE
,291,,,5452,6998,5453,6999,64080,221256,STATE,,PENROSE,AVE,,PENROSE AVE
,291,,,7000,7398,7001,7399,64080,120067,STATE,,PENROSE,AVE,,PENROSE AVE
,291,,,7400,7598,0,0,64080,120048,STATE,,PENROSE,AVE,,PENROSE AVE
,291,,,7600,7698,0,0,64080,120014,STATE,,PENROSE,AVE,,PENROSE AVE
,291,,,7700,8198,0,0,64080,120106,STATE,,PENROSE,AVE,,PENROSE AVE
S,58TH,ST,,1001,1039,1000,1038,24060,300629,STATE,,COBBS CREEK,PKWY,,COBBS CREEK PKWY
S,58TH,ST,,1041,1047,1040,1046,24060,300630,STATE,,COBBS CREEK,PKWY,,COBBS CREEK PKWY
S,58TH,ST,,1049,1099,1048,1098,24060,300527,STATE,,COBBS CREEK,PKWY,,COBBS CREEK PKWY
S,58TH,ST,,1101,1199,1100,1198,24060,300198,STATE,,COBBS CREEK,PKWY,,COBBS CREEK PKWY
N,5TH,ST,,0,0,181,199,44825,441718,STATE,N,INDEPENDENCE,MALL,E,N INDEPENDENCE MALL E
N,5TH,ST,,2,148,1,149,44825,441404,STATE,N,INDEPENDENCE,MALL,E,N INDEPENDENCE MALL E
N,5TH,ST,,150,178,151,179,44825,441717,STATE,N,INDEPENDENCE,MALL,E,N INDEPENDENCE MALL E
N,5TH,ST,,180,198,0,0,44825,441719,STATE,N,INDEPENDENCE,MALL,E,N INDEPENDENCE MALL E
S,5TH,ST,,1,109,2,108,44829,441173,STATE,S,INDEPENDENCE,MALL,E,S INDEPENDENCE MALL E
S,5TH,ST,,111,117,110,116,44829,441174,STATE,S,INDEPENDENCE,MALL,E,S INDEPENDENCE MALL E
S,5TH,ST,,119,123,118,122,44829,441175,STATE,S,INDEPENDENCE,MALL,E,S INDEPENDENCE MALL E
S,5TH,ST,,125,199,124,198,44829,441176,STATE,S,INDEPENDENCE,MALL,E,S INDEPENDENCE MALL E
N,6TH,ST,,2,188,1,189,44833,441168,STATE,N,INDEPENDENCE,MALL,W,N INDEPENDENCE MALL W
N,6TH,ST,,190,198,191,199,44833,441167,STATE,N,INDEPENDENCE,MALL,W,N INDEPENDENCE MALL W
S,6TH,ST,,1,129,2,128,44836,441169,STATE,S,INDEPENDENCE,MALL,W,S INDEPENDENCE MALL W
S,6TH,ST,,131,149,130,148,44836,441170,STATE,S,INDEPENDENCE,MALL,W,S INDEPENDENCE MALL W
S,6TH,ST,,151,169,150,168,44836,441171,STATE,S,INDEPENDENCE,MALL,W,S INDEPENDENCE MALL W
S,6TH,ST,,171,199,170,198,44836,441172,STATE,S,INDEPENDENCE,MALL,W,S INDEPENDENCE MALL W
I,95 RAMP,,,0,0,0,0,1080,100120,STATE,,DELAWARE EXPY,RAMP,,DELAWARE EXPY RAMP
I,95 RAMP,,,0,0,0,0,1080,100122,STATE,,DELAWARE EXPY,RAMP,,DELAWARE EXPY RAMP
I,95 RAMP,,,0,0,0,0,1080,100216,STATE,,DELAWARE EXPY,RAMP,,DELAWARE EXPY RAMP
I,95 RAMP,,,0,0,0,0,1080,100232,STATE,,DELAWARE EXPY,RAMP,,DELAWARE EXPY RAMP
