0-1,1
004D,12
004E,12
010A,10A
010B,10B
1-102,1-102
1-103,1-103
011B,11B
011G,11G
012A,12A
012B,12B
012C,12C
012D,12D
1-303,1-303
013A,13A
013B,13B
013F,13F
014A,14A
014B,14B
016A,16A
1-A,1A
01A2,1A2
001B,1B
01B1,1B1
001C,1C
01-C,1C
1-C,1C
001D,1D
1-D,1D
001E,1E
1-E,1E
001F,1F
01FF,1FF
1-F,1FF
001G,1G
001H,1H
01K3,1K3
001L,1L
001M,1M
001N,1N
001R,1R
01R,1R
1-R,1R
01RR,1RR
001S,1S
1S,1S
01ST,1ST
1ST-,1ST
001W,1W
2FL B,2 REAR
2FL BACK,2 REAR
026B,26B
002A,2A
002B,2B
02B,2B
2-B,2B
2 C,2C
002D,2D
002E,2E
02F,2F
2 F,2F
02FE,2FE
02FF,2FF
02FR,2FR
002G,2G
002H,2H
002J,2J
002L,2L
002M,2M
002N,2N
02ND,2ND
2ND,2ND
2ND-,2ND
002P,2P
002R,2R
02R,2R
2-R,2R
02RR,2RR
2-RR,2RR
002W,2W
032A,32A
033A,33A
033B,33B
039A,39A
003A,3A
03A3,3A3
003B,3B
03B,3B
03B3,3B3
003D,3D
003E,3E
003F,3F
03-F,3F
03FF,3FF
3FN,3FN
03FR,3FR
003G,3G
003H,3H
003J,3J
003K,3K
003M,3M
003N,3N
03NE,3NE
003R,3R
3-R,3R
03R,3RD
03RD,3RD
03RR,3RR
003S,3S
003W,3W
041A,41A
004A,4A
004B,4B
004C,4C
004F,4F
004G,4G
004H,4H
004J,4J
004N,4N
004R,4R
04RR,4RR
04TH,4TH
004W,4W
005A,5A
005B,5B
005C,5C
005E,5E
005F,5F
005I,5I
005N,5N
006A,6A
006B,6B
006C,6C
06TH,6TH
072A,72A
007A,7A
007B,7B
007E,7E
007F,7F
008A,8A
008B,8B
008C,8C
008D,8D
008E,8E
008F,8F
009A,9A
009B,9B
009C,9C
009F,9F
009H,9H
09NW,9NW
000A,A
00A,A
1FL A,A
A000,A
001A,A1
00A1,A1
A001,A1
A01,A1
A-01,A1
A-1,A1
0A10,A10
0A12,A12
00A2,A2
A002,A2
A-02,A2
00A3,A3
A003,A3
00A4,A4
00A5,A5
00A6,A6
00A7,A7
00A8,A8
A-08,A8
00A9,A9
0AA8,AA8
00AB,AB
AB,AB
ABC,ABC
AD,AD
AEAST,AEAST
AG,AG
APARTMENT,APT
APT,APT
AR,AR
AUP,AUP
000B,B
000G,G
2ND B,B
00B1,B1
B001,B1
B01,B1
B-01,B1
B-1,B1
0B10,B10
B 10,B10
B-10,B10
0B12,B12
0B14,B14
B 15,B15
B015,B15
0B18,B18
00B2,B2
B002,B2
B-02,B2
00B3,B3
B 3,B3
B03,B3
0B31,B31
00B4,B4
B-04,B4
00B5,B5
00B6,B6
00B7,B7
B007,B7
00B8,B8
B 8,B8
00B9,B9
BACK,BACK
BASDEV,BASDEV
BASMT,BASMT
BB,BB
BB6,BB 6
BB9,BB 9
B C,BC
BC,BC
BD,BD
BDU,BDU
BG,BG
BASEMEN,BSMT
BASEMENT,BSMT
BSM,BSMT
BSMNT,BSMT
BSMT,BSMT
BSMT C,BSMT C
BUP,BUP
000C,C
00C1,C1
0C11,C11
0C13,C13
C-14A,C-14A
00C2,C2
00C3,C3
00C4,C4
00C5,C5
00C6,C6
00C7,C7
00C8,C8
00C9,C9
CA,CA
CB,CB
CBA,CBA
CD,CD
CE,CE
CELL,CELL
CH,CH
CI,CI
CLW,CLW
COM,COM
COMM,COMM
COMMERC,COMMERC
COMMON,COMMON
CON,CON
COTTAGE,COTTAGE
CYA,CYA
CYB,CYB
000D,D
00D1,D1
00D2,D2
00D3,D3
00D4,D4
00D6,D6
00D8,D8
DOOR,DOOR
DU,DU
DUP,DUP
000E,E
EF,EF
ELW,ELW
ENTRANCE,ENTRANCE
000F,F
1FL F,F
2ND F,F
00F1,F1
00F3,F3
00F4,F4
FG,FG
FH,FH
3FLR,FL
2FL2,FL  2
01FL,FL 1
01FR,FL 1
01ST FL,FL 1
01ST FL R,FL 1
01ST FLR,FL 1
1 F,FL 1
1 FL,FL 1
1 FLR,FL 1
1FL1,FL 1
1FLF,FL 1
1FLOOR,FL 1
1FLR,FL 1
1ST  FLR,FL 1
1ST FL,FL 1
1ST FL 1,FL 1
1ST FL A,FL 1
1ST FL APT,FL 1
1ST FL F,FL 1
1ST FLOOR,FL 1
1ST FLR,FL 1
1ST FR,FL 1
1STF,FL 1
1STFL,FL 1
1ST-FL,FL 1
1STFLR,FL 1
FL 1,FL 1
FL01,FL 1
FL1,FL 1
FLOOR 1,FL 1
1FL,FL 1 
11TH FL,FL 11
002F,FL 2
002FL,FL 2
002ND,FL 2
02 FL,FL 2
02FL,FL 2
02ND FL,FL 2
02ND FL R,FL 2
02ND FLR,FL 2
02NDFL,FL 2
1 2ND FL,FL 2
1FL2,FL 2
2 FL,FL 2
2 FLOOR,FL 2
2FL,FL 2
2FLF,FL 2
2FLOOR,FL 2
2FLR,FL 2
2ND FL,FL 2
2ND FL 2,FL 2
2ND FLF,FL 2
2ND FLOOR,FL 2
2ND FLR,FL 2
2NDF,FL 2
2NDFL,FL 2
2NDFLOOR,FL 2
2NDFLR,FL 2
B 2ND FL,FL 2
FL 2,FL 2
FL02,FL 2
FL2,FL 2
02FL F,FL 2 FRNT
02FL R,FL 2 REAR
03FL,FL 3
03RD FL,FL 3
3 FL,FL 3
3 FLOOR,FL 3
3FL,FL 3
3FL R,FL 3
3FLF,FL 3
3FLOOR,FL 3
3RD FL,FL 3
3RD FL 3,FL 3
3RD FLOOR,FL 3
FL 3RD,FL 3
3RD FLR,FL 3
3RDFL,FL 3
3RDFLOOR,FL 3
3RDFLR,FL 3
FL 3,FL 3
FL03,FL 3
FL3,FL 3
04FL,FL 4
4TH FL,FL 4
05FL,FL 5
5TH FL,FL 5
6TH FL,FL 6
7TH FL,FL 7
8TH FL,FL 8
9TH FL,FL 9
0FL2,FL2
2FLA,FL2
FL,FLOOR
FLR,FLOOR
B 2ND FLOO,FLOOR 2B
1ST FLF,FRL 1
1 FRONT,FRNT
1FL FRONT,FRNT
FRN,FRNT
FRNT,FRNT
FRONT,FRNT
1FRNT,FRNT 1
1FRONT,FRNT 1
1ST FL FRN,FRNT 1
1ST FL FRO,FRNT 1
1ST FL FRT,FRNT 1
1ST FRNT,FRNT 1
1ST FRONT,FRNT 1
2 FR,FRNT 2
2 FRONT,FRNT 2
2FL F,FRNT 2
2FL FRNT,FRNT 2
2FL FRONT,FRNT 2
2FLFRNT,FRNT 2
2FRN,FRNT 2
2FRNT,FRNT 2
2FRONT,FRNT 2
2ND FL FR,FRNT 2
2ND FL FRN,FRNT 2
2ND FL FRNT,FRNT 2
2ND FL FRO,FRNT 2
2ND FL FRONT,FRNT 2
2ND FL FRT,FRNT 2
2ND FRN,FRNT 2
2ND FRNT,FRNT 2
2ND FRONT,FRNT 2
2NDFRNT,FRNT 2
3 FR,FRNT 3
3 FRONT,FRNT 3
3FN,FRNT 3
3FR,FRNT 3
3FRNT,FRNT 3
3FRONT,FRNT 3
3RD FL FRN,FRNT 3
3RD FL FRT,FRNT 3
3RD FRONT,FRNT 3
FRNT DESK,FRNT DESK
FUP,FUP
0G12,G12
00G2,G2
GARAGE,GARAGE
GC,GC
GDFL,GDFL
GG,GG
GH,GH
GLW,GLW
GRND,GROUND
GROUND,GROUND
GRFL,GROUND FLOOR
GRND FL,GROUND FLOOR
00H1,H1
H10-LG,H10-LG
H11-LG,H11-LG
H2-LG,H2-LG
H3-LG,H3-LG
H4-LG,H4-LG
H5-LG,H5-LG
H6-LG,H6-LG
H7-LG,H7-LG
H8-LG,H8-LG
H9-LG,H9-LG
HA,HA
HB,HB
HC,HC
HD,HD
HE,HE
HF,HF
HI,HI
HORIZON,HORIZON
HOTEL,HOTEL
HUP,HUP
IJ,IJ
ILW,ILW
000J,J
J10-LG,J10-LG
J2-LG,J2-LG
00J3,J3
J4-LG,J4-LG
J6-LG,J6-LG
J8-LG,J8-LG
JUP,JUP
000K,K
K-614A,K-614A
KL,KL
KLW,KLW
000L,L
LC,LC
LEVEL,LEVEL
LIBRARY,LIBRARY
LOWER,LOWR
LOWR,LOWR
LOW LEV,LOWR LEVEL
LOW LEVEL,LOWR LEVEL
LOWER LEVE,LOWR LEVEL
LOWER LEVEL,LOWR LEVEL
LUP,LUP
000M,M
MEZZ,MEZZ
MLW,MLW
000N,N
00N2,N2
00N3,N3
NAND,NAND
NUP,NUP
000O,O 
OFFICE,OFC
OFC,OFC
OLW,OLW
000P,P
P103,P103
P104,P104
P105,P105
P106,P106
P107,P107
P108,P108
P109,P109
P110,P110
P111,P111
P112,P112
P113,P113
P114,P114
P115,P115
P116,P116
P117,P117
P118,P118
P119,P119
P120,P120
P123,P123
P124,P124
P126,P126
P127,P127
P128,P128
P129,P129
P130,P130
P131,P131
P132,P132
P133,P133
P134,P134
P135,P135
P136,P136
PARKG,PARKG
PARKUNI,PARKUNI
PB,PB
PC,PC
PD,PD
PE,PE
PF,PF
PG,PG
00PH,PH
PH,PH
0PHW,PH W
PH1,PH1
PH105,PH105
PH 108,PH108
PH117,PH117
PH121,PH121
PH129,PH129
PH130,PH130
PH2,PH2
PH20,PH20
PH3,PH3
PH4,PH4
PH05,PH5
PH5,PH5
PH6,PH6
PH7,PH7
PH8,PH8
PH9,PH9
PHA,PHA
PHB,PHB
PHC,PHC
PHD,PHD
PHE,PHE
PHF,PHF
PHG,PHG
PHH,PHH
PHI,PHI
PHJ,PHJ
PHK,PHK
PHL,PHL
PHM,PHM
PHNE,PHNE
PHNW,PHNW
PHO,PHO
PHP,PHP
PHQ,PHQ
PHR,PHR
PHS,PHS
PHSE,PHSE
PHSW,PHSW
PHW,PHW
PI,PI
PIER 3,PIER 3
PIER 5,PIER 5
PJ,PJ
PM,PM
PN,PN
PUBLIC,PUBLIC
PUP,PUP
PW,PW
000Q,Q
QLW,QLW
000R,R
00R1,R
00R2,R2
REAR,REAR
1FL R,REAR
A REAR,REAR
REA,REAR
1 R,REAR 1
1 REA,REAR 1
1 REAR,REAR 1
1FL REAR,REAR 1
1FL RR,REAR 1
1FLREAR,REAR 1
1FLRR,REAR 1
1REA,REAR 1
1REAR,REAR 1
1ST FL R,REAR 1
1ST FL REA,REAR 1
1ST FL REAR,REAR 1
1ST FL RR,REAR 1
1ST R,REAR 1
1ST REAR,REAR 1
1ST RR,REAR 1
REAR 1,REAR 1
REAR 1ST,REAR 1
2 REAR,REAR 2
2FL R,REAR 2
2FL REAR,REAR 2
2FLREAR,REAR 2
2ND FL R,REAR 2
2ND FL REA,REAR 2
2ND FL REAR,REAR 2
2ND FL RR,REAR 2
2ND FLREAR,REAR 2
2ND REAR,REAR 2
2ND RR,REAR 2
2REAR,REAR 2
REAR 2,REAR 2
3 FLR REAR,REAR 3
3 REAR,REAR 3
3FL REAR,REAR 3
3RD FL R,REAR 3
3RD FL REA,REAR 3
3RD FL REAR,REAR 3
3RD FL RR,REAR 3
3RD REAR,REAR 3
3REAR,REAR 3
REAR B,REAR B
REAR C,REAR C
REAR D,REAR D
REST,REST
RETAIL,RETAIL
ROOFTOP,ROOFTOP
ROOM,ROOM
RUA,RUA
RUB,RUB
RUC,RUC
RUP,RUP
000S,S
SCLUB,SCLUB
1ST SIDE,SIDE
SIDE,SIDE
SLW,SLW
000T,T 
TERR,TER
THA,THA
THB,THB
TIDES,TIDES
TUP,TUP
UC,UC
UNIT,UNIT
UTL,UTL
000V,V
000W,W
WD,WD
000Z,Z
