PRE_DIR,ST_NAME,ST_TYPE,SUF_SIDR,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,ST_CODE,SEG_ID,RESPONSIBL,SUF_DIR
N,10TH,ST,,0,0,0,0,87990,441056,FAM,
N,10TH,ST,,0,0,0,0,87990,441786,FAM,
N,10TH,ST,,0,0,0,0,87990,640656,CITY,
N,10TH,ST,,0,0,0,0,87990,640657,CITY,
N,10TH,ST,,2,26,1,29,87990,441286,FAM,
N,10TH,ST,,28,42,31,41,87990,440385,FAM,
N,10TH,ST,,44,98,43,99,87990,440373,FAM,
N,10TH,ST,,100,120,101,119,87990,440360,FAM,
N,10TH,ST,,122,130,121,131,87990,440355,FAM,
N,10TH,ST,,132,198,133,199,87990,440944,FAM,
N,10TH,ST,,200,216,201,221,87990,440943,FAM,
N,10TH,ST,,218,240,223,241,87990,441360,FAM,
N,10TH,ST,,242,298,243,299,87990,441057,FAM,
N,10TH,ST,,300,312,301,313,87990,440942,FAM,
N,10TH,ST,,314,320,315,321,87990,440941,FAM,
N,10TH,ST,,322,322,323,331,87990,440940,FAM,
N,10TH,ST,,324,332,333,343,87990,440939,FAM,
N,10TH,ST,,334,398,345,399,87990,440938,FAM,
N,10TH,ST,,400,428,401,429,87990,440810,FAM,
N,10TH,ST,,430,448,431,449,87990,441436,FAM,
N,10TH,ST,,450,498,451,499,87990,440809,FAM,
N,10TH,ST,,500,508,501,511,87990,440808,FAM,
N,10TH,ST,,510,528,513,531,87990,440807,FAM,
N,10TH,ST,,530,534,533,535,87990,440806,FAM,
N,10TH,ST,,536,598,537,599,87990,440805,FAM,
N,10TH,ST,,600,614,601,641,87990,440804,FAM,
N,10TH,ST,,616,626,643,643,87990,440803,FAM,
N,10TH,ST,,628,630,645,645,87990,440802,FAM,
N,10TH,ST,,632,660,647,661,87990,440801,FAM,
N,10TH,ST,,662,698,663,699,87990,440800,FAM,
N,10TH,ST,,700,712,701,711,87990,441992,FAM,
N,10TH,ST,,714,798,713,799,87990,441993,FAM,
N,10TH,ST,,800,848,801,849,87990,441239,FAM,
N,10TH,ST,,850,868,851,869,87990,442054,FAM,
N,10TH,ST,,870,898,871,899,87990,442055,FAM,
N,10TH,ST,,900,942,901,909,87990,442080,CITY,
N,10TH,ST,,944,946,911,941,87990,442081,CITY,
N,10TH,ST,,948,950,943,951,87990,441897,CITY,
N,10TH,ST,,952,998,953,999,87990,440110,CITY,
N,10TH,ST,,1200,1210,1201,1213,87990,441843,CITY,
N,10TH,ST,,1212,1298,1215,1299,87990,441221,CITY,
N,10TH,ST,,1300,1350,1301,1349,87990,440011,CITY,
N,10TH,ST,,1352,1398,1351,1399,87990,441842,CITY,
N,10TH,ST,,1400,1498,1401,1499,87990,543366,CITY,
N,10TH,ST,,1500,1598,1501,1599,87990,543219,CITY,
N,10TH,ST,,1600,1622,1601,1629,87990,543031,CITY,
N,10TH,ST,,1624,1698,1631,1699,87990,542925,CITY,
N,10TH,ST,,1700,1756,1701,1719,87990,542852,CITY,
N,10TH,ST,,1758,1798,1721,1799,87990,542790,CITY,
N,10TH,ST,,1800,1898,1801,1899,87990,542670,CITY,
N,10TH,ST,,1900,1998,1901,1999,87990,542478,CITY,
N,10TH,ST,,2000,2098,2001,2099,87990,542272,CITY,
N,10TH,ST,,2100,2130,2101,2123,87990,542035,CITY,
N,10TH,ST,,2132,2148,2125,2135,87990,541896,CITY,
N,10TH,ST,,2150,2198,2137,2199,87990,541844,CITY,
N,10TH,ST,,2200,2222,2201,2225,87990,541784,CITY,
N,10TH,ST,,2224,2242,2227,2245,87990,541687,CITY,
N,10TH,ST,,2244,2298,2247,2299,87990,541628,CITY,
N,10TH,ST,,2300,2316,2301,2317,87990,541558,CITY,
N,10TH,ST,,2318,2330,2319,2333,87990,541490,CITY,
N,10TH,ST,,2332,2398,2335,2399,87990,541412,CITY,
N,10TH,ST,,2400,2416,2401,2417,87990,541345,CITY,
N,10TH,ST,,2418,2498,2419,2499,87990,541261,CITY,
N,10TH,ST,,2500,2598,2501,2599,87990,541123,CITY,
N,10TH,ST,,3000,3098,3001,3099,87990,540115,CITY,
N,10TH,ST,,3100,3198,3101,3199,87990,540031,CITY,
N,10TH,ST,,3200,3238,3201,3237,87990,641930,CITY,
N,10TH,ST,,3240,3298,3239,3299,87990,641880,CITY,
N,10TH,ST,,3300,3342,3301,3343,87990,641836,CITY,
N,10TH,ST,,3344,3398,3345,3399,87990,641744,CITY,
N,10TH,ST,,3400,3414,3401,3417,87990,641691,CITY,
N,10TH,ST,,3416,3434,3419,3437,87990,641645,CITY,
N,10TH,ST,,3436,3498,3439,3499,87990,641593,CITY,
N,10TH,ST,,3500,3598,3501,3599,87990,641547,CITY,
N,10TH,ST,,3600,3698,3601,3699,87990,641396,CITY,
N,10TH,ST,,3700,3798,3701,3799,87990,641330,CITY,
N,10TH,ST,,3800,3898,3801,3899,87990,641206,CITY,
N,10TH,ST,,3900,3998,3901,3999,87990,641110,CITY,
N,10TH,ST,,4000,4006,4001,4007,87990,641000,CITY,
N,10TH,ST,,4008,4098,4009,4099,87990,640962,CITY,
N,10TH,ST,,4100,4198,4101,4199,87990,640920,CITY,
N,10TH,ST,,4200,4398,4201,4399,87990,640805,CITY,
N,10TH,ST,,4500,4598,4501,4599,87990,640436,CITY,
N,10TH,ST,,4600,4698,4601,4699,87990,640316,CITY,
N,10TH,ST,,4700,4798,4701,4799,87990,640196,CITY,
N,10TH,ST,,4800,4898,4801,4899,87990,640077,CITY,
N,10TH,ST,,4900,4998,4901,4999,87990,640017,CITY,
N,10TH,ST,,5000,5098,5001,5099,87990,741218,CITY,
N,10TH,ST,,5100,5198,5101,5199,87990,741214,CITY,
N,10TH,ST,,5200,5298,5201,5299,87990,741208,CITY,
N,10TH,ST,,5300,5336,5301,5337,87990,740064,CITY,
N,10TH,ST,,5338,5398,5339,5399,87990,741077,CITY,
N,10TH,ST,,5400,5548,5401,5549,87990,741183,CITY,
N,10TH,ST,,5550,5598,5551,5599,87990,741895,CITY,
N,10TH,ST,,5600,5698,5601,5699,87990,740759,CITY,
N,10TH,ST,,5900,5998,5901,5999,87990,740568,CITY,
N,10TH,ST,,6000,6098,6001,6099,87990,742810,CITY,
N,10TH,ST,,6100,6198,6101,6199,87990,740395,CITY,
N,10TH,ST,,6200,6298,6201,6299,87990,740019,CITY,
N,10TH,ST,,6300,6398,6301,6399,87990,740013,CITY,
N,10TH,ST,,6400,6498,6401,6499,87990,740009,CITY,
N,10TH,ST,,6500,6598,6501,6599,87990,740133,CITY,
N,10TH,ST,,6600,6798,6601,6799,87990,740100,CITY,
N,10TH,ST,,6800,6898,6801,6899,87990,840020,CITY,
S,10TH,ST,,1,17,2,8,88000,440415,FAM,
S,10TH,ST,,19,33,10,34,88000,440423,FAM,
S,10TH,ST,,35,35,36,36,88000,440427,FAM,
S,10TH,ST,,37,99,38,98,88000,441292,FAM,
S,10TH,ST,,101,119,100,120,88000,440472,FAM,
S,10TH,ST,,121,199,122,198,88000,440513,FAM,
S,10TH,ST,,201,233,200,226,88000,440559,FAM,
S,10TH,ST,,235,255,228,250,88000,440606,FAM,
S,10TH,ST,,257,269,252,262,88000,440621,FAM,
S,10TH,ST,,271,299,264,298,88000,440645,FAM,
S,10TH,ST,,301,303,300,302,88000,441074,FAM,
S,10TH,ST,,305,309,304,312,88000,340116,FAM,
S,10TH,ST,,311,399,314,398,88000,340117,FAM,
S,10TH,ST,,401,407,400,408,88000,340133,FAM,
S,10TH,ST,,409,499,410,498,88000,340118,FAM,
S,10TH,ST,,501,515,500,514,88000,340119,FAM,
S,10TH,ST,,517,599,516,598,88000,340120,FAM,
S,10TH,ST,,601,699,600,698,88000,340121,CITY,
S,10TH,ST,,701,733,700,730,88000,340415,CITY,
S,10TH,ST,,735,799,732,798,88000,340416,CITY,
S,10TH,ST,,801,899,800,898,88000,340587,CITY,
S,10TH,ST,,901,917,900,916,88000,340588,CITY,
S,10TH,ST,,919,921,918,922,88000,340670,CITY,
S,10TH,ST,,923,923,924,924,88000,340671,CITY,
S,10TH,ST,,925,929,926,930,88000,340673,CITY,
S,10TH,ST,,931,931,932,932,88000,340674,CITY,
S,10TH,ST,,933,999,934,998,88000,340589,CITY,
S,10TH,ST,,1001,1009,1000,1008,88000,340590,CITY,
S,10TH,ST,,1011,1017,1010,1016,88000,340659,CITY,
S,10TH,ST,,1019,1029,1018,1028,88000,340660,CITY,
S,10TH,ST,,1031,1099,1030,1098,88000,340840,CITY,
S,10TH,ST,,1101,1143,1100,1144,88000,340841,CITY,
S,10TH,ST,,1145,1165,1146,1162,88000,340842,CITY,
S,10TH,ST,,1167,1167,1164,1164,88000,340895,CITY,
S,10TH,ST,,1169,1199,1166,1198,88000,340896,CITY,
S,10TH,ST,,1201,1299,1200,1298,88000,340894,CITY,
S,10TH,ST,,1301,1399,1300,1398,88000,341067,CITY,
S,10TH,ST,,1401,1417,1400,1416,88000,341049,CITY,
S,10TH,ST,,1419,1429,1418,1422,88000,341050,CITY,
S,10TH,ST,,1431,1499,1424,1498,88000,341051,CITY,
S,10TH,ST,,1501,1511,1500,1512,88000,341052,CITY,
S,10TH,ST,,1513,1523,1514,1524,88000,341194,CITY,
S,10TH,ST,,1525,1599,1526,1598,88000,341195,CITY,
S,10TH,ST,,1601,1613,1600,1612,88000,341196,CITY,
S,10TH,ST,,1615,1625,1614,1626,88000,341197,CITY,
S,10TH,ST,,1627,1699,1628,1698,88000,341198,CITY,
