"""1940"" (STUDENT HOUSING)",1801 N BROAD ST
A CHILD'S INSPIRATION WILDLIFE DISCOVERY GARDEN,1848 SEPVIVA ST
A. PHILIP AVT RANDOLPH HIGH SCHOOL,2901-27 HENRY AVE
ACES MUSEUM,5801-03 GERMANTOWN AVE
AFROTC PROGRAM,5700-30 CITY AVE
AMY NORTHWEST (ST. TERESE) MIDDLE SCHOOL,5950 RIDGE AVE
AMY AT JAMES MARTIN MIDDLE SCHOOL,3350 RICHMOND ST
APM TRINIDAD HEAD START,1038-48 W SEDGLEY AVE
APS MUSEUM,500-36 CHESTNUT ST
AT&T STATION (BROAD STREET LINE),3601 S BROAD ST
AWS SENIOR HOUSING,1701 S 28TH ST
ABIDING TRUTH MINISTRIES,5701 WASHINGTON AVE
ABIGAIL VARE ELEMENTARY SCHOOL,1619 E MOYAMENSING AVE
ABRAHAM LINCOLN HS,3201 RYAN AVE
ABRAM JENKS ELEMENTARY SCHOOL,1245 W MOYAMENSING AVE
ABRAMSON FAMILY CANCER RESEARCH INSTITUTE,3401 CIVIC CENTER BLVD
ABUNDANT HARVEST HOUSE,630 MCKEAN ST
ABUNDANT LIFE CHINESE CHURCH,1731 S BROAD ST
ABUNDANT LIFE FELLOWSHIP,2045 MEDARY AVE
ABUNDANT LIFE 7TH DAY CHURCH,6169 GRAYS AVE
ABUNDANT LIFE AND GRACE CENTER MINISTRIES.INC,7332 CASTOR AVE
ABYSSINIAN BAPTIST CHURCH,4208-16 GERMANTOWN AVE
ACADEMY GARDENS,3401 KIRKWOOD RD
ACADEMY PLAZA,3200 RED LION RD
ACADEMY AT PALUMBO HIGH SCHOOL,1100 CATHARINE ST
ACADEMY FOR EARLY LEARNING,5000 WISSAHICKON AVE
ACADEMY OF ESSENTIAL KNOWLEDGE,1546 N 27TH ST
ACADEMY OF FINE ARTS,118-26 N BROAD ST
ACADEMY OF MUSIC,300-18 S BROAD ST
ACADEMY OF NATURAL SCIENCES,1900 RACE ST
ACCLAIM ACADEMY,5615-19 GERMANTOWN AVE
ACTS OF THE APOSTLES CHURCH IN JESUS CHRIST,2801-07 MASTER ST
AD PRIMA CHARTER SCHOOL,3568 FRANKFORD AVE
ADAMS PLAZA,811 ADAMS AVE
ADAMS RUN SHOPPING CENTER,6201-31 N FRONT ST
ADATH JESHURUN CEMETERY,1855 BRIDGE ST
ADDITION B. ANDERSON SCHOOL,1034-42 S 60TH ST
ADDAMS HALL,3401-99 SPRUCE ST
ADDISON STREET PARK,720 ADDISON ST
ADELPHIA,1229-37 CHESTNUT ST
ADMIRALS DAVID DIXON PORTER,N CONCOURSE DR
ADMIRALS JOHN A.B. DAHLGREN,N CONCOURSE DR
ADMISSIONS BUILDING,3400 W GIRARD AVE
ADONAL COMMUNITY BAPTIST CHURCH,6001-03 ELMWOOD AVE
ADVANCED CARE PAVILION,3800 POWELTON AVE
ADVOCATE ST STEVENS UNITED,5209-13 GERMANTOWN AVE
AERO MEMORIAL,200 N 19TH ST
AFRICAN PLAINS,3400 W GIRARD AVE
