Pre,Name,Suffix,Post,USPS
,54TH,DR,,S 54TH DR
,55TH,DR,,S 55TH DR
W,64TH,AVE,,64TH AVE
W,65TH,AVE,,65TH AVE
,ABERDEEN,ST,,N ABERDEEN ST
,AIKENS,ST,,S AIKENS ST
,APOLLO,PLZ,,APOLLO PL
,APSLEY,ST,,W APSLEY ST
,ARCOLA,ST,,S ARCOLA ST
,ARDELL,ST,,S ARDELL ST
,ARLAN,AVE,,ARLAN ST
,ARMSTRONG,ST,,E ARMSTRONG ST
,ASHFORD,ST,,S ASHFORD ST
,ASHLEY,RD,,ASHLEY ST
N,ASHMEAD,PL,,ASHMEAD PL N
S,ASHMEAD,PL,,ASHMEAD PL S
,AVNER,LN,,AVNER ST
,BANK,ST,,S BANK ST
,BARNER,PL,,BARNER DR
,BARRINGER,ST,,E BARRINGER ST
,BEACH,ST,,N BEACH ST
,BEAUMONT,ST,,BEAUMONT AVE
,BELLFORD,ST,,S BELLFORD ST
,BELLMORE,ST,,BELLMORE AVE
,BENEZET,ST,,E BENEZET ST
,BENTON,AVE,,BENTON ST
,BERBRO,ST,,S BERBRO ST
,BERKLEY,ST,,W BERKLEY ST
,BIALY,ST,,S BIALY ST
,BREAD,ST,,N BREAD ST
,BRINTON,ST,,E BRINTON ST
,BROOKLYN,ST,,N BROOKLYN ST
,BROUGHTON,RD,,BROUGHTON ST
,BUDD,ST,,N BUDD ST
,BURNS,ST,,N BURNS ST
,BUSTI,ST,,N BUSTI ST
,CADWALLADER,ST,,N CADWALLADER ST
,CARDEZA,ST,,E CARDEZA ST
,CARROLL,ST,,S CARROLL ST
W,CHAMPLOST,AVE,,CHAMPLOST AVE
,CHANG,ST,,N CHANG ST
,CHIPPENDALE,AVE,,CHIPPENDALE ST
N,CHRISTOPHER COLUMBUS,BLVD,,N COLUMBUS BLVD
S,CHRISTOPHER COLUMBUS,BLVD,,S COLUMBUS BLVD
,CLAREMONT,RD,,E CLAREMONT RD
,CLARENDON,AVE,,CLARENDEN RD
,CLARISSA,ST,,N CLARISSA ST
,CLAYMONT,ST,,S CLAYMONT ST
,COLLOM,ST,,E COLLOM ST
,COSGROVE,ST,,E COSGROVE ST
,DALLAS,ST,,DALLAS RD
,DARIEN,WAY,,N DARIEN WAY
,DEARBORN,ST,,N DEARBORN ST
,DILWORTH,ST,,S DILWORTH ST
,DIVINITY,ST,,S DIVINITY ST
,DORRANCE,ST,,S DORRANCE ST
,DORSET,ST,,E DORSET ST
,DUNTON,ST,,E DUNTON ST
,DURAND,ST,,W DURAND ST
,DURARD,ST,,E DURARD ST
,EARLHAM,TER,,W EARLHAM TER
,EASTVIEW,RD,,EASTVIEW ST
,ELGIN,AVE,,ELGIN ST
,ELM,AVE,,S ELM ST
,ELWOOD,ST,,E ELWOOD ST
E,ESTAUGH,ST,,ESTAUGH ST
W,ESTAUGH,ST,,ESTAUGH ST
,EVERETT,AVE,,EVERETT ST
,FARISTON,DR,,E FARISTON DR
,FARRAGUT,ST,,S FARRAGUT ST
,FARSON,ST,,N FARSON ST
W,FISHERS,LN,,W FISHER LN
,FLAGSHIP,DR,,FLAGSHIP AVE
,GARRETT,ST,,E GARRETT ST
,GIFFORD,AVE,,GIFFORD ST
,GLENCOE,AVE,,GLENCOE ST
,GLENFIELD,ST,,GLENFIELD RD
,GOULD,ST,,S GOULD ST
,GRAY,ST,,E GRAY ST
,GREENWOOD,ST,,GREENWOOD AVE
,GREYLOCK,ST,,S GREYLOCK ST
,GROVE,ST,,S GROVE ST
,HANSBERRY,ST,,W HANSBERRY ST
,HANSON,ST,,S HANSON ST
,HARSHAW,ST,,S HARSHAW ST
,HARVEY,ST,,W HARVEY ST
,HERMAN,ST,,E HERMAN ST
,HIGH,ST,,E HIGH ST
,HOBSON,ST,,S HOBSON ST
,HOLBROOK,ST,,S HOLBROOK ST
,HOPE,ST,,N HOPE ST
,HOWELL,ST,,E HOWELL ST
,HUTCHINSON,PL,,N HUTCHINSON PL
,HUTTON,ST,,N HUTTON ST
,JAMESTOWN,AVE,,JAMESTOWN ST
,JEFFERSON,ST,,W JEFFERSON ST
W,JEROME,ST,,JEROME ST
,JUDSON,ST,,N JUDSON ST
,KESWICK,CIR,,S KESWICK CIR
,KESWICK,PLZ,,S KESWICK PLZ
,KESWICK,TER,,S KESWICK TER
,KING,ST,,W KING ST
,KISMET,TER,,KISMET PL
,LARRY,ST,,S LARRY ST
,LAUREL,ST,,W LAUREL ST
,LAUREL,ST,,E LAUREL ST
,LETITIA,ST,,S LETITIA ST
,LEX,ST,,N LEX ST
,LILAC,DR,,LILAC LN
S,LLOYD,CT,,LLOYD CT
,LLOYD,ST,,S LLOYD ST
,LOCUST,AVE,,E LOCUST AVE
,LOTT,AVE,,LOTT ST
,LOUISE,ST,,LOUISE RD
,MANCHESTER,ST,,MANCHESTER AVE
,MANHEIM,ST,,W MANHEIM ST
,MAPLEWOOD,AVE,,W MAPLEWOOD AVE
,MAPLEWOOD,MALL,,W MAPLEWOOD MALL
,MARWOOD,RD,,MARWOOD RD E
,MASCHER,ST,,N MASCHER ST
,MAY,PL,,N MAY PL
,MCPHERSON,ST,,E MCPHERSON ST
,MEEHAN,AVE,,E MEEHAN AVE
,MILAN,ST,,S MILAN ST
,MILNE,ST,,W MILNE ST
,MONTANA,ST,,E MONTANA ST
,MOSS,ST,,N MOSS ST
,MOUNT PLEASANT,PL,,N MOUNT PLEASANT PL
,MUHFELD,ST,,S MUHLFELD ST
,NATHANIEL,PL,,NATHANIEL DR
E,NEVADA,ST,,NEVADA ST
,NIPPON,ST,,W NIPPON ST
,OREGON,AVE,,E OREGON AVE
,OREGON,AVE,,W OREGON AVE
,PALETHORP,ST,,N PALETHORP ST
,PALLAS,ST,,N PALLAS ST
,PALM,ST,,N PALM ST
,PARK,LN,,W PARK LN
,PARK TOWNE,PL,,PARK TOWNE PL W
,PARK TOWNE,PL,,PARK TOWNE PL S
,PARKSIDE,AVE,,PARKSIDE AVE N
E,PELLE,CIR,,PELLE CIR E
W,PELLE,CIR,,PELLE CIR W
,PENNOCK,ST,,N PENNOCK ST
,PICKERING,AVE,,PICKERING ST
E,PLEASANT,PL,,PLEASANT PL
,PLEASANT,ST,,E PLEASANT ST
,PORTER,ST,,W PORTER ST
,PORTER,ST,,E PORTER ST
,PROVIDENT,ST,,PROVIDENT RD
,QUINCE,ST,,S QUINCE ST
,RAMSEY,ST,,N RAMSEY ST
,REGER,ST,,W REGER ST
,RESERVE,DR,,S RESERVE DR
,RESERVE,DR,,W RESERVE DR
,RETTA,ST,,RETTA AVE
,REXFORD,RD,,REXFORD ST
,RITNER,ST,,W RITNER ST
,RITTENHOUSE,SQ,,RITTENHOUSE SQUARE ST
,ROSELLA,PL,,S ROSELLA PL
,ROSELLA,ST,,S ROSELLA ST
,ROUMFORT,RD,,E ROUMFORT RD
,SALAIGNAC,ST,,W SALAIGNAC ST
,SALAIGNAC,ST,,E SALAIGNAC ST
,SANDYFORD,AVE,,SANDYFORD RD
,SANGER,ST,,E SANGER ST
,SAUNDERS,AVE,,N SAUNDERS AVE
,SEDGELEY,DR,,W SEDGLEY DR
,SEMINOLE,AVE,,SEMINOLE ST
,SEYBERT,ST,,W SEYBERT ST
,SHEDAKER,ST,,E SHEDAKER ST
,SHEFFIELD,AVE,,SHEFFIELD ST
,SHIELDS,ST,,S SHIELDS ST
,SHUNK,ST,,W SHUNK ST
,SLOAN,ST,,N SLOAN ST
,SLOCUM,ST,,E SLOCUM ST
S,SPANGLER,ST,,SPANGLER ST
E,SPENCER,AVE,,E SPENCER ST
W,SPENCER,AVE,,W SPENCER ST
,STATE,ST,,N STATE ST
N,STATION,LN,,STATION LN
,STETLER,ST,,S STETLER ST
,STEVENSON,ST,,STEVENSON LN
,STRAWBERRY,ST,,S STRAWBERRY ST
,SYDNEY,ST,,E SYDNEY ST
,SYLMAR,ST,,S SYLMAR ST
,TANAGER,ST,,TANAGER PL
N,LECOUNT,ST,,N TANEY ST
S,LECOUNT,ST,,S TANEY ST
W,TELNER,ST,,TELNER ST
,TOWANDA,AVE,,TOWANDA ST
,TUSTIN,AVE,,TUSTIN ST
,ULENA,ST,,S ULENA ST
,UNION,ST,,N UNION ST
,VADER,DR,,VADER RD
,VERNON,RD,,E VERNON RD
W,VICTORIA,ST,,VICTORIA ST
,WADSWORTH,AVE,,E WADSWORTH AVE
,WARFIELD,ST,,S WARFIELD ST
S,WASHINGTON,SQ,,WASHINGTON SQ S
E,WELLENS,ST,,E WELLENS AVE
W,WELLENS,ST,,W WELLENS AVE
,WESTVIEW,AVE,,WESTVIEW ST
,WETHERILL,WAY,,WETHERILL CT
,WILLINGTON,ST,,N WILLINGTON ST
,WINDSOR,ST,,WINDSOR AVE
,WIOTA,ST,,N WIOTA ST
,WOODALE,AVE,,WOODALE RD
,WYNEVA,ST,,E WYNEVA ST
,WYNEVA,ST,,W WYNEVA ST
,ZERALDA,ST,,W ZERALDA ST
